"ISO3","team_continent","n","total","percent","country_nm"
"AFG","Africa",4,583,0.686106346483705,"Afghanistan"
"AFG","Asia",30,583,5.14579759862779,"Afghanistan"
"AFG","Collaboration",57,583,9.7770154373928,"Afghanistan"
"AFG","Europe",318,583,54.5454545454545,"Afghanistan"
"AFG","Northern America",108,583,18.52487135506,"Afghanistan"
"AFG","Oceania",66,583,11.3207547169811,"Afghanistan"
"AUS","Africa",14,3972,0.352467270896274,"Australia"
"AUS","Asia",74,3972,1.86304128902316,"Australia"
"AUS","Collaboration",503,3972,12.6636455186304,"Australia"
"AUS","Europe",325,3972,8.18227593152064,"Australia"
"AUS","Lat.America & Car.",7,3972,0.176233635448137,"Australia"
"AUS","Northern America",217,3972,5.46324269889225,"Australia"
"AUS","Oceania",2832,3972,71.2990936555891,"Australia"
"IND","Africa",83,3347,2.47983268598745,"India"
"IND","Asia",119,3347,3.55542276665671,"India"
"IND","Collaboration",266,3347,7.94741559605617,"India"
"IND","Europe",981,3347,29.3098296982372,"India"
"IND","Lat.America & Car.",74,3347,2.21093516582014,"India"
"IND","Northern America",1614,3347,48.2222886166716,"India"
"IND","Oceania",210,3347,6.27427547057066,"India"
"MAR","Africa",28,1037,2.70009643201543,"Morocco"
"MAR","Asia",13,1037,1.25361620057859,"Morocco"
"MAR","Collaboration",114,1037,10.99324975892,"Morocco"
"MAR","Europe",786,1037,75.7955641272903,"Morocco"
"MAR","Lat.America & Car.",1,1037,0.0964320154291225,"Morocco"
"MAR","Northern America",93,1037,8.96817743490839,"Morocco"
"MAR","Oceania",2,1037,0.192864030858245,"Morocco"
"RUS","Africa",4,3184,0.125628140703518,"Russian Federation"
"RUS","Asia",220,3184,6.90954773869347,"Russian Federation"
"RUS","Collaboration",213,3184,6.68969849246231,"Russian Federation"
"RUS","Europe",2347,3184,73.712311557789,"Russian Federation"
"RUS","Lat.America & Car.",15,3184,0.471105527638191,"Russian Federation"
"RUS","Northern America",363,3184,11.4007537688442,"Russian Federation"
"RUS","Oceania",22,3184,0.690954773869347,"Russian Federation"
"SYR","Africa",7,1400,0.5,"Syrian Arab Republic"
"SYR","Asia",308,1400,22,"Syrian Arab Republic"
"SYR","Collaboration",255,1400,18.2142857142857,"Syrian Arab Republic"
"SYR","Europe",533,1400,38.0714285714286,"Syrian Arab Republic"
"SYR","Lat.America & Car.",14,1400,1,"Syrian Arab Republic"
"SYR","Northern America",259,1400,18.5,"Syrian Arab Republic"
"SYR","Oceania",24,1400,1.71428571428571,"Syrian Arab Republic"
"USA","Africa",142,26131,0.543415866212544,"United States of America"
"USA","Asia",613,26131,2.34587271822739,"United States of America"
"USA","Collaboration",2139,26131,8.18567984386361,"United States of America"
"USA","Europe",3459,26131,13.2371512762619,"United States of America"
"USA","Lat.America & Car.",722,26131,2.76300179862998,"United States of America"
"USA","Northern America",18657,26131,71.3979564501933,"United States of America"
"USA","Oceania",399,26131,1.5269220466113,"United States of America"
"VEN","Africa",1,277,0.36101083032491,"Venezuela"
"VEN","Asia",4,277,1.44404332129964,"Venezuela"
"VEN","Collaboration",63,277,22.7436823104693,"Venezuela"
"VEN","Europe",38,277,13.7184115523466,"Venezuela"
"VEN","Lat.America & Car.",121,277,43.6823104693141,"Venezuela"
"VEN","Northern America",49,277,17.6895306859206,"Venezuela"
"VEN","Oceania",1,277,0.36101083032491,"Venezuela"
